# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1433
#@/user_id	Amber_76Game_Windows
a 	啊	c=5 d=1.33539 t=1433
a a 	啊啊	c=1 d=0.923116 t=1433
a si dun 	阿斯頓	c=1 d=0.211189 t=1433
ai 	唉	c=2 d=0.146401 t=1433
ai de 	愛的	c=1 d=0.198891 t=1433
ai de jia 	埃德加	c=1 d=0.193013 t=1433
ai shang 	愛上	c=2 d=0.403813 t=1433
an niu 	按鈕	c=7 d=1.20739 t=1433
an pai 	安排	c=2 d=1.00877 t=1433
an yi xia 	按一下	c=1 d=0.0692522 t=1433
an zhao 	按照	c=1 d=0.0207543 t=1433
an zhuang 	安裝	c=1 d=0.144424 t=1433
ba 	吧	c=3 d=0.888644 t=1433
ba 	把	c=2 d=0.155673 t=1433
ban ben 	版本	c=1 d=0.571209 t=1433
ban zhuan 	搬磚	c=2 d=0.185329 t=1433
bang mang 	幫忙	c=1 d=0.154896 t=1433
bao cun 	保存	c=1 d=0.121238 t=1433
bao cuo 	報錯	c=1 d=0.588605 t=1433
bao gao 	報告	c=5 d=0.272296 t=1433
bao kuo 	包括	c=1 d=0.429557 t=1433
bei 	被	c=4 d=0.73895 t=1433
bei xuan 	備選	c=1 d=0.0120342 t=1433
ben gai 	本該	c=1 d=0.0426384 t=1433
ben lai 	本來	c=2 d=0.022343 t=1433
bi jiao 	比較	c=1 d=0.557106 t=1433
bi ru 	比如	c=2 d=1.13965 t=1433
bi xu 	必須	c=3 d=0.423241 t=1433
bi ye 	畢業	c=1 d=0.744532 t=1433
bian cheng 	變成	c=1 d=0.0483156 t=1433
bian hua 	變化	c=1 d=0.0569831 t=1433
bian ji qi 	編輯器	c=3 d=0.0709607 t=1433
bian liang 	變量	c=8 d=3.14869 t=1433
bian wei 	變爲	c=1 d=0.0808629 t=1433
biao 	表	c=1 d=0.522046 t=1433
bie ba 	別吧	c=1 d=0.0123389 t=1433
bing 	並	c=1 d=0.778801 t=1433
bing qie 	並且	c=1 d=0.280832 t=1433
bo li 	玻璃	c=1 d=0.0131019 t=1433
bu 	不	c=3 d=0.12841 t=1433
bu deng yu 	不等於	c=1 d=0.453845 t=1433
bu dui 	不對	c=2 d=0.0522469 t=1433
bu fen 	部分	c=1 d=0.657047 t=1433
bu gou 	不夠	c=1 d=0.351692 t=1433
bu hui 	不會	c=1 d=0.951229 t=1433
bu ji de 	不記得	c=1 d=0.108609 t=1433
bu kao 	補考	c=1 d=0.722527 t=1433
bu neng 	不能	c=2 d=0.293758 t=1433
bu quan 	不全	c=1 d=0.0614212 t=1433
bu ran 	不然	c=2 d=0.145148 t=1433
bu shang 	不傷	c=1 d=0.0132336 t=1433
bu shao 	不少	c=2 d=0.341572 t=1433
bu shi 	不是	c=2 d=1.32548 t=1433
bu shu 	部署	c=1 d=0.918512 t=1433
bu shuo le 	不說了	c=1 d=0.130029 t=1433
bu tong 	不同	c=1 d=0.379083 t=1433
bu xu yao 	不需要	c=1 d=0.285076 t=1433
bu yong 	不用	c=1 d=0.0121552 t=1433
bu zhi 	不知	c=1 d=0.494109 t=1433
bu zhi dao 	不知道	c=1 d=0.680451 t=1433
cai liao 	材料	c=3 d=0.592335 t=1433
cai neng 	才能	c=1 d=0.171187 t=1433
cai niao 	菜鳥	c=1 d=0.548812 t=1433
cai shi 	纔是	c=2 d=0.736649 t=1433
cai you 	纔有	c=2 d=0.798516 t=1433
can jia 	參加	c=1 d=0.690734 t=1433
can kao 	參考	c=2 d=0.579614 t=1433
can lan 	燦爛	c=1 d=0.0428521 t=1433
cao zuo 	操作	c=2 d=0.469871 t=1433
cha 	查	c=2 d=0.0343264 t=1433
cha bie 	差別	c=1 d=0.574072 t=1433
cha le 	查了	c=1 d=0.0953692 t=1433
cha zhao 	查找	c=1 d=0.126186 t=1433
chang 	唱	c=2 d=0.0520349 t=1433
chao guo 	超過	c=1 d=0.29523 t=1433
cheng 	成	c=1 d=0.267135 t=1433
cheng xu 	程序	c=2 d=0.999151 t=1433
cheng xu yuan 	程序員	c=1 d=0.927743 t=1433
cheng zhang 	成長	c=1 d=0.217621 t=1433
chong tou 	重頭	c=1 d=0.394554 t=1433
chong xin 	崇信	c=1 d=0.995012 t=1433
chong xin 	重新	c=1 d=0.913931 t=1433
chu 	出	c=1 d=0.036334 t=1433
chu 	初	c=1 d=0.718924 t=1433
chu cuo 	出錯	c=1 d=0.147342 t=1433
chu fa 	觸發	c=1 d=0.238115 t=1433
chu lai 	出來	c=1 d=0.0285814 t=1433
chu xian 	出現	c=6 d=0.900325 t=1433
chuan 	串	c=1 d=0.232236 t=1433
chuan ru 	傳入	c=1 d=0.213312 t=1433
chuang jian 	創建	c=1 d=0.600496 t=1433
chuang kou 	窗口	c=1 d=0.0184074 t=1433
ci 	次	c=1 d=0.985112 t=1433
ci hui 	詞彙	c=2 d=0.324056 t=1433
ci ku 	詞庫	c=2 d=0.305184 t=1433
ci wai 	此外	c=1 d=0.313486 t=1433
cong 	從	c=3 d=0.688159 t=1433
cuo wu 	錯誤	c=1 d=0.0241131 t=1433
da 	大	c=1 d=0.0372538 t=1433
da 	打	c=1 d=0.204948 t=1433
da dian hua 	打電話	c=1 d=0.860708 t=1433
da gai 	大概	c=1 d=0.22091 t=1433
da kai 	打開	c=1 d=0.075774 t=1433
da suan 	打算	c=3 d=0.609792 t=1433
da xiao 	大小	c=1 d=0.0566989 t=1433
da xiao xie 	大小寫	c=1 d=0.0187793 t=1433
dai 	待	c=1 d=0.843665 t=1433
dai ma 	代碼	c=8 d=1.78089 t=1433
dai shang 	帶上	c=1 d=0.12307 t=1433
dan 	但	c=1 d=0.380983 t=1433
dan du 	單獨	c=1 d=0.0746459 t=1433
dan shi 	但是	c=3 d=0.0795307 t=1433
dan xuan 	單選	c=3 d=0.961088 t=1433
dan xuan zu 	單選組	c=2 d=0.878095 t=1433
dang qian 	當前	c=1 d=0.29671 t=1433
dang shi 	當時	c=1 d=0.092089 t=1433
dao 	到	c=4 d=1.70892 t=1433
dao chu 	導出	c=1 d=0.142274 t=1433
dao ju 	道具	c=1 d=0.23457 t=1433
dao ru 	導入	c=6 d=1.08936 t=1433
dao zhi 	導致	c=1 d=0.0620385 t=1433
de 	的	c=78 d=12.9405 t=1433
de mo 	地膜	c=1 d=0.740818 t=1433
deng 	等	c=1 d=0.66034 t=1433
deng ji 	等級	c=6 d=1.72327 t=1433
deng lu 	登錄	c=1 d=0.481909 t=1433
deng ru 	登入	c=1 d=0.164474 t=1433
di fang 	地方	c=2 d=0.901576 t=1433
dian 	點	c=3 d=0.589867 t=1433
dian an 	點按	c=1 d=0.0165727 t=1433
dian ji 	點擊	c=4 d=0.26405 t=1433
dian jin qu 	點進去	c=1 d=0.774916 t=1433
dian wo 	點我	c=1 d=0.0518189 t=1433
diao yong 	調用	c=4 d=1.30309 t=1433
ding duan 	頂端	c=1 d=0.453845 t=1433
ding yi 	定義	c=3 d=1.08858 t=1433
diu qi 	丟棄	c=1 d=0.501576 t=1433
dou 	都	c=3 d=1.00285 t=1433
dou hui 	都會	c=1 d=0.392586 t=1433
dou shi 	都是	c=1 d=0.408608 t=1433
dou wei 	都爲	c=1 d=0.323033 t=1433
dou you 	都有	c=1 d=0.0972957 t=1433
dui bu qi 	對不起	c=1 d=0.0269169 t=1433
dui dui 	對對	c=1 d=0.941765 t=1433
dui ying 	對應	c=2 d=0.635863 t=1433
duo 	多	c=0 d=0.0794534 t=1433
duo ge 	多個	c=1 d=0.484325 t=1433
duo kan shu 	多看書	c=1 d=0.798516 t=1433
duo yu 	多餘	c=1 d=0.491644 t=1433
er 	而	c=1 d=0.0131675 t=1433
er bian 	耳邊	c=1 d=0.0257325 t=1433
er bu shi 	而不是	c=1 d=0.543351 t=1433
er qie 	而且	c=2 d=0.236091 t=1433
er shi 	而是	c=1 d=0.458406 t=1433
fa gei 	發給	c=0 d=0.0158817 t=1433
fa gei wo 	發給我	c=1 d=0.159614 t=1433
fa xian 	發現	c=5 d=1.63521 t=1433
fan 	煩	c=1 d=0.115903 t=1433
fan ye 	樊也	c=1 d=0.115325 t=1433
fan ye 	翻頁	c=3 d=0.342535 t=1433
